model,item_id,Correlation,MASE,RMSE,MSE
ChronosFineTuned[bolt_base],CP000000_CPI_CPI_5_0_3_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_00,-0.7949903792784687,2.998047715047505,13.428180403865914,180.31602895876856
ChronosZeroShot[bolt_base],CP000000_CPI_CPI_5_0_3_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_00,0.8257677660332612,2.4009921594192876,10.557985880340729,111.47106584947419
ChronosFineTuned[bolt_base],CP000000_CPI_CPI_5_0_3_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_00_pct_change,0.5841111229586089,0.5361871621009727,0.02273284510833386,0.0005167822467194988
ChronosZeroShot[bolt_base],CP000000_CPI_CPI_5_0_3_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_00_pct_change,0.3986047376135064,0.6325863749631658,0.02648490235637216,0.0007014500528265676
ChronosFineTuned[bolt_base],CP010000_CPI_CPI_5_1_8_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_01,0.932723920249167,1.5696423528133383,3.5489570035928546,12.595095813350774
ChronosZeroShot[bolt_base],CP010000_CPI_CPI_5_1_8_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_01,0.9356180463293131,0.6185763366958391,1.345944749244422,1.8115672680186303
ChronosFineTuned[bolt_base],CP010000_CPI_CPI_5_1_8_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_01_pct_change,0.2993727988635726,0.525592635944218,0.0036617377863110284,1.3408323615697991e-05
ChronosZeroShot[bolt_base],CP010000_CPI_CPI_5_1_8_MAIN_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_01_pct_change,-0.10354727327913148,0.48678519679397403,0.003500785128272007,1.2255496514330453e-05
ChronosFineTuned[bolt_base],CP020100_CPI_CPI_5_2_4_3_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_02_01,0.9939870452786487,1.4524952319023523,3.900998192369688,15.217786896871573
ChronosZeroShot[bolt_base],CP020100_CPI_CPI_5_2_4_3_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_02_01,0.9889068177776463,0.46304764583998653,1.2771519251578534,1.631117039934411
ChronosFineTuned[bolt_base],CP020100_CPI_CPI_5_2_4_3_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_02_01_pct_change,0.7572472977420347,0.15631867995100743,0.0012720283976570474,1.6180562444459553e-06
ChronosZeroShot[bolt_base],CP020100_CPI_CPI_5_2_4_3_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_02_01_pct_change,0.7565439512795125,0.10261205990264431,0.000863564706775126,7.457440027876093e-07
ChronosFineTuned[bolt_base],CP020200_CPI_CPI_5_2_1_SUB_M_N__Z__Z_I24_L__Z_A__Z__Z_CP_02_02,0.9579014403267493,1.0374904700389276,2.9070486066235075,8.450931601271677
